Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
(S)-Adenosyl-L-methionine,0.001,0.001,166899,0.001,178408.2,0.001,992647.3,0.001,0.001,0.001,0.001,682586,0.001,363009,331489.7,0.001,752500.8,0.001,74440.98,484032.1,0.001,37159.89,313297.2,849568.1,0.001,429240.4,216686.5,415132.8,169623.2,772581.1,0.001,0.001,0.001,0.001,0.001,122959.9,214716.6
(S)-Carboxymethyl-L-cysteine,303374.1,215336.9,266310.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,217862.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,233331.6,314616.4,274158,0.001,0.001,0.001,0.001,0.001,0.001,123461.2,109570.3,0.001,0.001,0.001,0.001,0.001
(S)-Hexyl-glutathione,200957.2,178056,165733.8,0.001,55653.89,65993.74,0.001,0.001,0.001,261500,225027.2,208768.7,0.001,52541.48,54415.37,218542.5,0.001,0.001,0.001,85487.88,67943.8,0.001,146959.9,191585.7,70942.5,117341.6,0.001,0.001,148653.2,138071.1,149837.1,164256,0.001,0.001,64473.28,85062.84,174343.5
(S)-Taurocholic Acid,1.34E+07,1.19E+07,1.20E+07,1.24E+07,1.19E+07,1.26E+07,0.001,0.001,0.001,1.03E+07,1.20E+07,1.14E+07,7842473,7494412,7293282,1.04E+07,1.08E+07,1.05E+07,4659548,7488962,7112240,1.40E+07,1.24E+07,1.29E+07,2.18E+07,1.34E+07,1.33E+07,0.001,1.06E+07,1.08E+07,1.05E+07,1.10E+07,4994362,0.001,9854061,1.02E+07,1.09E+07
(S)-Taurodeoxycholic Acid,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15795.18,0.001,18437.23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"1,2-Didecanoyl-sn-glycero-3-phosphoethanolamine",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,180278.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"1,2-Diheptadecanoyl-sn-glycero-3-phosphoethanolamine",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,490365.8,368713.3,361712.3,50301.44,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"1,2-Dihexanoyl-sn-glycero-3-phosphocholine",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,38081.52,0.001,89194.1,0.001,68150.98,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30837.79,0.001,31141.97,0.001,0.001,0.001,0.001,43690.24
"1,2-Dihexanoyl-sn-glycero-3-phosphoethanolamine",737923.6,736598.8,0.001,5617351,5321956,5415324,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44079.84,117349.1,265526.6,347460.7,705524.6
"1,2-Dilauroyl-sn-glycero-3-phosphocholine",0.001,0.001,0.001,158023.7,162333.4,176701.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,65180.08,63695.13,48671.95,0.001,28605.63,31589.85,30280.57,28837.21,0.001,0.001,0.001,10834.5,24386.7
"1,2-Dimyristoyl-sn-glycero-3-phosphocholine",0.001,0.001,0.001,1.40E+07,1.39E+07,1.37E+07,0.001,0.001,0.001,0.001,0.001,0.001,201889.5,0.001,161735.2,0.001,0.001,0.001,0.001,0.001,0.001,78899.88,128426.5,158746.4,1.33E+07,1.58E+07,1.41E+07,0.001,5778195,5940496,5538545,5784855,541545,1043198,1863067,3271798,5804100
"1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",0.001,0.001,0.001,1713003,1785653,1745221,0.001,0.001,0.001,0.001,0.001,0.001,94004.68,71333.05,59845.07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,585172.6,626290.9,553490.6,0.001,444875.9,440062.3,404691.4,407490.6,21364.07,60665.58,111434.2,218174.3,417295.9
